tanggal,waktu,sumber,moisture0,moisture1,moisture2,moisture3,moisture4,irrgation
06/03/2020,22:52:13,plant_vase1_2,0.22,0.36,0.27,0.16,0.02,False
06/03/2020,22:53:13,plant_vase1,0.68,0.64,0.7,0.44,0.02,False
06/03/2020,22:53:13,plant_vase1_2,0.22,0.36,0.27,0.16,0.02,False
06/03/2020,22:54:13,plant_vase1,0.68,0.64,0.7,0.44,0.02,False
06/03/2020,22:54:13,plant_vase1_2,0.22,0.33,0.27,0.15,0.02,False
06/03/2020,22:55:13,plant_vase1,0.68,0.64,0.7,0.44,0.03,False
06/03/2020,22:55:13,plant_vase1_2,0.24,0.37,0.28,0.16,0.03,False
06/03/2020,22:56:13,plant_vase1,0.68,0.64,0.7,0.44,0.02,False
06/03/2020,22:56:13,plant_vase1_2,0.23,0.34,0.27,0.11,0.02,False
06/03/2020,22:57:13,plant_vase1,0.68,0.64,0.7,0.44,0.02,False
06/03/2020,22:57:13,plant_vase1_2,0.23,0.36,0.26,0.13,0.02,False
06/03/2020,22:58:13,plant_vase1,0.68,0.64,0.71,0.44,0.02,False
06/03/2020,22:58:13,plant_vase1_2,0.23,0.35,0.27,0.14,0.02,False
06/03/2020,22:59:13,plant_vase1,0.68,0.64,0.71,0.44,0.02,False
06/03/2020,22:59:13,plant_vase1_2,0.23,0.35,0.27,0.14,0.02,False
06/03/2020,23:00:14,plant_vase1,0.68,0.65,0.71,0.45,0.02,False
06/03/2020,23:00:13,plant_vase1_2,0.23,0.35,0.26,0.13,0.02,False
06/03/2020,23:01:14,plant_vase1,0.68,0.65,0.71,0.45,0.02,False
06/03/2020,23:01:13,plant_vase1_2,0.23,0.35,0.26,0.13,0.02,False
06/03/2020,23:02:14,plant_vase1,0.68,0.65,0.71,0.45,0.02,False
06/03/2020,23:02:14,plant_vase1_2,0.23,0.34,0.26,0.13,0.02,False
06/03/2020,23:03:14,plant_vase1,0.68,0.65,0.71,0.45,0.02,False
06/03/2020,23:03:14,plant_vase1_2,0.23,0.34,0.26,0.13,0.02,False
06/03/2020,23:04:14,plant_vase1,0.68,0.65,0.71,0.46,0.02,False
06/03/2020,23:04:14,plant_vase1_2,0.23,0.34,0.26,0.13,0.02,False
06/03/2020,23:05:14,plant_vase1,0.68,0.65,0.71,0.46,0.03,False
06/03/2020,23:05:14,plant_vase1_2,0.23,0.37,0.25,0.15,0.03,False
06/03/2020,23:06:14,plant_vase1,0.68,0.65,0.71,0.46,0.02,False
06/03/2020,23:06:14,plant_vase1_2,0.23,0.34,0.23,0.13,0.02,False
06/03/2020,23:07:14,plant_vase1,0.68,0.65,0.71,0.47,0.02,False
06/03/2020,23:07:14,plant_vase1_2,0.23,0.34,0.25,0.12,0.02,False
06/03/2020,23:08:14,plant_vase1,0.68,0.65,0.71,0.47,0.02,False
06/03/2020,23:08:14,plant_vase1_2,0.23,0.3,0.24,0.12,0.02,False
06/03/2020,23:09:14,plant_vase1,0.68,0.65,0.71,0.47,0.02,False
06/03/2020,23:09:14,plant_vase1_2,0.22,0.31,0.25,0.12,0.02,False
06/03/2020,23:10:14,plant_vase1,0.68,0.65,0.71,0.47,0.02,False
06/03/2020,23:10:14,plant_vase1_2,0.23,0.29,0.25,0.12,0.02,False
06/03/2020,23:11:14,plant_vase1,0.68,0.65,0.71,0.47,0.02,False
06/03/2020,23:11:14,plant_vase1_2,0.23,0.29,0.25,0.12,0.02,False
06/03/2020,23:12:14,plant_vase1,0.67,0.65,0.71,0.47,0.02,False
06/03/2020,23:12:14,plant_vase1_2,0.23,0.29,0.25,0.13,0.02,False
06/03/2020,23:13:14,plant_vase1,0.68,0.65,0.71,0.47,0.02,False
06/03/2020,23:13:14,plant_vase1_2,0.23,0.29,0.25,0.12,0.02,False
06/03/2020,23:14:14,plant_vase1,0.68,0.65,0.71,0.47,0.02,False
06/03/2020,23:14:14,plant_vase1_2,0.24,0.29,0.27,0.12,0.02,False
06/03/2020,23:15:14,plant_vase1,0.68,0.65,0.71,0.47,0.03,False
06/03/2020,23:15:14,plant_vase1_2,0.23,0.29,0.27,0.12,0.03,False
06/03/2020,23:16:14,plant_vase1,0.68,0.65,0.72,0.48,0.02,False
06/03/2020,23:16:14,plant_vase1_2,0.23,0.26,0.27,0.13,0.02,False
06/03/2020,23:17:14,plant_vase1,0.69,0.65,0.72,0.48,0.02,False
06/03/2020,23:17:14,plant_vase1_2,0.23,0.26,0.26,0.11,0.02,False
06/03/2020,23:18:14,plant_vase1,0.68,0.66,0.72,0.48,0.02,False
06/03/2020,23:18:14,plant_vase1_2,0.23,0.26,0.27,0.12,0.02,False
06/03/2020,23:19:14,plant_vase1,0.69,0.66,0.72,0.48,0.02,False
06/03/2020,23:19:14,plant_vase1_2,0.23,0.27,0.27,0.12,0.02,False
06/03/2020,23:20:15,plant_vase1,0.69,0.66,0.72,0.48,0.02,False
06/03/2020,23:20:14,plant_vase1_2,0.23,0.27,0.27,0.12,0.02,False
06/03/2020,23:21:15,plant_vase1,0.68,0.66,0.72,0.48,0.02,False
06/03/2020,23:21:15,plant_vase1_2,0.23,0.26,0.26,0.12,0.02,False
06/03/2020,23:22:15,plant_vase1,0.69,0.66,0.72,0.48,0.02,False
06/03/2020,23:22:15,plant_vase1_2,0.23,0.26,0.26,0.12,0.02,False
06/03/2020,23:23:15,plant_vase1,0.69,0.66,0.72,0.48,0.02,False
06/03/2020,23:23:15,plant_vase1_2,0.23,0.26,0.26,0.12,0.02,False
06/03/2020,23:24:15,plant_vase1,0.69,0.66,0.72,0.48,0.02,False
06/03/2020,23:24:15,plant_vase1_2,0.23,0.26,0.26,0.12,0.02,False
06/03/2020,23:25:15,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:25:15,plant_vase1_2,0.23,0.26,0.26,0.12,0.02,False
06/03/2020,23:26:15,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:26:15,plant_vase1_2,0.23,0.27,0.28,0.12,0.02,False
06/03/2020,23:27:15,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:27:15,plant_vase1_2,0.23,0.27,0.28,0.12,0.02,False
06/03/2020,23:28:15,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:28:15,plant_vase1_2,0.23,0.27,0.27,0.12,0.02,False
06/03/2020,23:29:15,plant_vase1,0.68,0.66,0.72,0.49,0.02,False
06/03/2020,23:29:15,plant_vase1_2,0.23,0.27,0.27,0.12,0.02,False
06/03/2020,23:30:15,plant_vase1,0.68,0.66,0.72,0.49,0.02,False
06/03/2020,23:30:15,plant_vase1_2,0.23,0.27,0.27,0.12,0.02,False
06/03/2020,23:31:15,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:31:15,plant_vase1_2,0.23,0.27,0.27,0.12,0.02,False
06/03/2020,23:32:15,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:32:15,plant_vase1_2,0.23,0.26,0.27,0.12,0.02,False
06/03/2020,23:33:15,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:33:15,plant_vase1_2,0.23,0.27,0.27,0.12,0.02,False
06/03/2020,23:34:15,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:34:15,plant_vase1_2,0.23,0.27,0.27,0.12,0.02,False
06/03/2020,23:35:15,plant_vase1,0.68,0.66,0.72,0.49,0.02,False
06/03/2020,23:35:15,plant_vase1_2,0.23,0.27,0.26,0.12,0.02,False
06/03/2020,23:36:15,plant_vase1,0.69,0.66,0.72,0.49,0.03,False
06/03/2020,23:36:15,plant_vase1_2,0.25,0.29,0.28,0.13,0.03,False
06/03/2020,23:37:15,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:37:15,plant_vase1_2,0.23,0.28,0.26,0.11,0.02,False
06/03/2020,23:38:15,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:38:15,plant_vase1_2,0.23,0.28,0.26,0.11,0.02,False
06/03/2020,23:39:15,plant_vase1,0.68,0.66,0.73,0.49,0.02,False
06/03/2020,23:39:15,plant_vase1_2,0.23,0.28,0.26,0.12,0.02,False
06/03/2020,23:40:16,plant_vase1,0.68,0.66,0.72,0.49,0.02,False
06/03/2020,23:40:15,plant_vase1_2,0.23,0.28,0.27,0.12,0.02,False
06/03/2020,23:41:16,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:41:16,plant_vase1_2,0.23,0.28,0.27,0.11,0.02,False
06/03/2020,23:42:16,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:42:16,plant_vase1_2,0.23,0.28,0.27,0.12,0.02,False
06/03/2020,23:43:16,plant_vase1,0.69,0.66,0.72,0.49,0.02,False
06/03/2020,23:43:16,plant_vase1_2,0.23,0.28,0.26,0.11,0.02,False
06/03/2020,23:44:16,plant_vase1,0.68,0.66,0.72,0.49,0.02,False
06/03/2020,23:44:16,plant_vase1_2,0.23,0.28,0.27,0.11,0.02,False
06/03/2020,23:45:16,plant_vase1,0.68,0.66,0.72,0.49,0.02,False
06/03/2020,23:45:16,plant_vase1_2,0.23,0.28,0.28,0.11,0.02,False
06/03/2020,23:46:16,plant_vase1,0.68,0.66,0.72,0.5,0.03,False
06/03/2020,23:46:16,plant_vase1_2,0.23,0.28,0.29,0.14,0.03,False
06/03/2020,23:47:16,plant_vase1,0.68,0.66,0.73,0.5,0.02,False
06/03/2020,23:47:16,plant_vase1_2,0.23,0.28,0.27,0.11,0.02,False
06/03/2020,23:48:16,plant_vase1,0.68,0.66,0.73,0.5,0.02,False
06/03/2020,23:48:16,plant_vase1_2,0.23,0.29,0.28,0.11,0.02,False
06/03/2020,23:49:16,plant_vase1,0.68,0.66,0.73,0.5,0.02,False
06/03/2020,23:49:16,plant_vase1_2,0.23,0.29,0.27,0.11,0.02,False
06/03/2020,23:50:16,plant_vase1,0.68,0.66,0.73,0.5,0.02,False
06/03/2020,23:50:16,plant_vase1_2,0.23,0.29,0.27,0.11,0.02,False
06/03/2020,23:51:16,plant_vase1,0.68,0.66,0.73,0.5,0.02,False
06/03/2020,23:51:16,plant_vase1_2,0.23,0.29,0.28,0.11,0.02,False
06/03/2020,23:52:16,plant_vase1,0.69,0.66,0.73,0.5,0.02,False
06/03/2020,23:52:16,plant_vase1_2,0.23,0.29,0.28,0.11,0.02,False
06/03/2020,23:53:16,plant_vase1,0.69,0.66,0.73,0.5,0.02,False
06/03/2020,23:53:16,plant_vase1_2,0.23,0.29,0.28,0.11,0.02,False
06/03/2020,23:54:16,plant_vase1,0.68,0.66,0.73,0.5,0.02,False
06/03/2020,23:54:16,plant_vase1_2,0.23,0.29,0.28,0.11,0.02,False
06/03/2020,23:55:16,plant_vase1,0.68,0.66,0.73,0.5,0.02,False
06/03/2020,23:55:16,plant_vase1_2,0.23,0.29,0.27,0.11,0.02,False
06/03/2020,23:56:16,plant_vase1,0.68,0.66,0.73,0.5,0.03,False
06/03/2020,23:56:16,plant_vase1_2,0.23,0.3,0.29,0.11,0.03,False
06/03/2020,23:57:16,plant_vase1,0.68,0.66,0.73,0.5,0.02,False
06/03/2020,23:57:16,plant_vase1_2,0.23,0.3,0.28,0.11,0.02,False
06/03/2020,23:58:16,plant_vase1,0.68,0.66,0.73,0.5,0.02,False
06/03/2020,23:58:16,plant_vase1_2,0.22,0.3,0.28,0.11,0.02,False
06/03/2020,23:59:16,plant_vase1,0.68,0.67,0.73,0.5,0.02,False
06/03/2020,23:59:16,plant_vase1_2,0.22,0.3,0.28,0.11,0.02,False
07/03/2020,00:00:17,plant_vase1,0.68,0.66,0.73,0.51,0.02,False
07/03/2020,00:00:16,plant_vase1_2,0.23,0.31,0.29,0.11,0.02,False
07/03/2020,00:01:17,plant_vase1,0.67,0.67,0.73,0.51,0.02,False
07/03/2020,00:01:17,plant_vase1_2,0.23,0.31,0.27,0.11,0.02,False
07/03/2020,00:02:17,plant_vase1,0.68,0.66,0.73,0.51,0.02,False
07/03/2020,00:02:17,plant_vase1_2,0.22,0.31,0.29,0.11,0.02,False
07/03/2020,00:03:17,plant_vase1,0.67,0.67,0.73,0.51,0.02,False
07/03/2020,00:03:17,plant_vase1_2,0.22,0.32,0.29,0.11,0.02,False
07/03/2020,00:04:17,plant_vase1,0.67,0.67,0.73,0.51,0.02,False
07/03/2020,00:04:17,plant_vase1_2,0.22,0.33,0.29,0.11,0.02,False
07/03/2020,00:05:17,plant_vase1,0.68,0.67,0.73,0.51,0.02,False
07/03/2020,00:05:17,plant_vase1_2,0.22,0.33,0.29,0.11,0.02,False
07/03/2020,00:06:17,plant_vase1,0.68,0.67,0.73,0.51,0.02,False
07/03/2020,00:06:17,plant_vase1_2,0.22,0.33,0.28,0.11,0.02,False
07/03/2020,00:07:17,plant_vase1,0.68,0.66,0.73,0.51,0.03,False
07/03/2020,00:07:17,plant_vase1_2,0.25,0.32,0.29,0.13,0.03,False
07/03/2020,00:08:17,plant_vase1,0.67,0.67,0.73,0.51,0.02,False
07/03/2020,00:08:17,plant_vase1_2,0.22,0.3,0.29,0.11,0.02,False
07/03/2020,00:09:17,plant_vase1,0.68,0.67,0.73,0.51,0.02,False
07/03/2020,00:09:17,plant_vase1_2,0.22,0.32,0.29,0.11,0.02,False
07/03/2020,00:10:17,plant_vase1,0.67,0.67,0.73,0.51,0.02,False
07/03/2020,00:10:17,plant_vase1_2,0.22,0.32,0.29,0.11,0.02,False
